fec_vta,suc_vta,or_vta,stat_vta,cve_esp,clas_car,stat_reg,cve_gra,cve_serv,tip_com,par_dat,emi_stat,cor_sc,per_int,ser_id,zon_vta,vta_id,bol_vta,fi_vta,var_ord,fec_ord,cve_ord_dte,cve_vta_ord,imp_ant,diniper,digitover,gcioid,fec_arb
2024-10-26,2161,6567102141,1,13277,V,1,0,0,11,798392,0,3,3,0,53,184,3,0,0.00,1901-01-01 00:00:00,00917702  ,5922,192.00,2024-11-02 20:20:00,5,1,2024-11-21 03:16:03.455857000
2024-10-28,2157,8048902137,1,80150,V,1,0,0,11,1021119,0,2,2,0,6,184,3,0,0.00,1901-01-01 00:00:00,1104902   ,5763,230.00,2024-11-08 15:45:00,5,1,2024-11-21 03:16:03.455857000
2024-10-26,2200,10537582180,1,88489,V,1,0,0,11,1232592,0,2,3,0,17,184,3,-1,0.00,1901-01-01 00:00:00,1151847   ,1869,185.00,2024-11-08 12:44:00,3,1,2024-11-21 03:16:03.455857000
2024-10-19,2184,8100061822164,1,792652,V,0,0,0,11,792652,0,0,154,0,0,184,3,0,21560.00,1901-01-01 00:00:00,999999    ,0,140.00,2024-10-26 15:34:00,5,1,2024-11-21 03:16:03.455857000
2024-10-19,2209,10406892189,1,68034,V,1,0,0,10,544521,0,3,4,0,28,184,3,-1,0.00,1901-01-01 00:00:00,00966011  ,4167,379.00,2024-11-01 14:40:00,2,1,2024-11-21 03:16:03.455857000
2024-10-28,2164,4328552144,1,72561,V,1,0,0,11,575730,0,3,3,0,31,184,3,0,0.00,1901-01-01 00:00:00,00957808  ,8322,308.00,2024-11-04 17:56:00,1,1,2024-11-21 03:16:03.455857000
2024-10-25,2151,5259192131,1,65387,V,1,0,0,10,634340,0,3,4,0,89,184,3,-1,0.00,1901-01-01 00:00:00,00906911  ,9401,424.00,2024-11-01 18:05:00,8,1,2024-11-21 03:16:03.455857000
2024-10-15,2098,5681332078,1,60162,V,1,0,0,11,713943,0,5,5,0,26,184,3,0,0.00,1901-01-01 00:00:00,1008636   ,118,174.00,2024-10-23 12:27:00,3,1,2024-11-21 03:16:03.455857000
2024-10-22,2211,7747072191,1,902396,V,0,0,0,11,902396,0,0,154,0,0,184,3,0,29568.00,1901-01-01 00:00:00,999999    ,0,192.00,2024-11-04 17:59:00,7,1,2024-11-21 03:16:03.455857000
2024-10-10,2200,10519202180,1,21290,V,1,0,0,11,1229987,0,5,5,0,18,184,3,0,0.00,1901-01-01 00:00:00,323018    ,1865,410.00,2024-10-23 18:23:00,6,1,2024-11-21 03:16:03.455857000
2024-10-13,2103,5338852083,1,678538,V,0,0,0,11,678538,0,0,52,0,0,184,3,0,28184.00,1901-01-01 00:00:00,999999    ,0,542.00,2024-10-28 12:57:00,9,1,2024-11-21 03:16:03.455857000
2024-10-19,2162,6614002142,1,29069,V,1,0,0,11,798678,0,4,5,0,106,184,3,-1,0.00,1901-01-01 00:00:00,00822301  ,1139,188.00,2024-10-29 17:06:00,7,1,2024-11-21 03:16:03.455857000
2024-10-25,2188,10838982168,1,75355,V,1,0,0,11,1237877,0,3,3,0,1,184,3,0,0.00,1901-01-01 00:00:00,91198     ,2897,306.00,2024-11-04 19:14:00,2,1,2024-11-21 03:16:03.455857000
2024-10-28,2043,8507362023,1,124867,V,1,0,0,10,1018165,0,2,3,0,77,184,3,-1,0.00,1901-01-01 00:00:00,00926763  ,2062,260.00,2024-11-10 18:53:00,5,1,2024-11-21 03:16:03.455857000
2024-10-17,2162,6612082142,1,78700,V,1,0,0,10,798376,0,4,4,0,44,184,3,0,0.00,1901-01-01 00:00:00,00963908  ,8396,414.00,2024-10-27 16:02:00,2,1,2024-11-21 03:16:03.455857000
2024-10-17,2162,6612082142,1,78700,V,1,0,0,10,798376,0,4,4,0,44,184,3,0,0.00,1901-01-01 00:00:00,00963908  ,8396,414.00,2024-10-27 16:02:00,2,1,2024-11-21 03:16:03.455857000
2024-10-29,2490,6494242470,1,774153,V,0,0,0,11,774153,0,0,72,0,0,184,3,0,18432.00,1901-01-01 00:00:00,999999    ,0,256.00,2024-11-17 09:42:00,1,1,2024-11-21 03:16:03.455857000
2024-10-27,1007,1226540987,1,141165,V,1,0,0,11,1403290,0,2,2,0,68,184,3,0,0.00,1901-01-01 00:00:00,00922403  ,1197,138.00,2024-11-09 19:28:00,3,1,2024-11-21 03:16:03.455857000
2024-10-25,1007,1226268987,1,1402868,V,0,0,0,11,1402868,0,0,154,0,0,184,3,0,52360.00,1901-01-01 00:00:00,999999    ,0,340.00,2024-11-03 14:22:00,6,1,2024-11-21 03:16:03.455857000
2024-10-28,1276,420111256,1,61027,V,0,0,0,11,61027,0,0,154,0,0,184,3,0,58520.00,1901-01-01 00:00:00,999999    ,0,380.00,2024-11-16 13:22:00,9,1,2024-11-21 03:16:03.455857000
2024-10-10,2176,5469652156,1,57732,V,1,0,0,11,700152,0,5,5,0,142,495,3,0,0.00,1901-01-01 00:00:00,00821825  ,3482,387.00,2024-10-21 12:19:00,1,1,2024-11-21 03:16:03.455857000
2024-10-10,2176,5469652156,1,57732,V,1,0,0,11,700152,0,5,5,0,142,495,3,0,0.00,1901-01-01 00:00:00,00821825  ,3482,387.00,2024-10-21 12:19:00,1,1,2024-11-21 03:16:03.455857000
2024-10-24,2161,6564812141,1,79147,V,1,0,0,10,798029,0,3,3,0,38,184,3,0,0.00,1901-01-01 00:00:00,00822509  ,7547,365.00,2024-11-03 17:39:00,4,1,2024-11-21 03:16:03.455857000
2024-10-12,2082,7837642062,1,104872,V,1,0,0,11,912186,0,5,5,0,8,184,3,0,0.00,1901-01-01 00:00:00,1081029   ,696,304.00,2024-10-20 20:19:00,1,1,2024-11-21 03:16:03.455857000
2024-10-29,2082,7852772062,1,102038,V,1,0,0,11,914364,0,2,3,0,50,184,3,-1,0.00,1901-01-01 00:00:00,1155057   ,1846,300.00,2024-11-11 18:03:00,2,1,2024-11-21 03:16:03.455857000
2024-10-25,2209,10408992189,1,67951,V,1,0,0,10,544958,0,3,3,0,82,184,3,0,0.00,1901-01-01 00:00:00,00956708  ,6348,195.00,2024-11-04 20:03:00,6,1,2024-11-21 03:16:03.455857000
2024-10-20,2211,7744402191,1,57645,V,1,0,0,11,902072,0,4,4,0,5,184,3,0,0.00,1901-01-01 00:00:00,00973408  ,2116,292.00,2024-10-30 18:41:00,2,1,2024-11-21 03:16:03.455857000
