vta_can,id_tip_car,cve_art,imp_sob,man_vta,dig_over,or_vta,stat_per_vta,ges_vta,cla_vta,din_ipe,gci_oid,fec_arb,mto_vta,imp_doc,fec_ibo,vta_clas,stat_car_vta,ser_id_car,pag_car,pag_car_tx,rut_abt,nov_abt,fid_dpt,fec_ctd,man_abt,man_otor_vta
383630,4000,31059608,4378.00,396.00,5,2827612055,1,0,0,2024-11-09 17:57:00,1,2024-11-21 03:16:03.455857000,13377.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,15444.00,0,0,0,2024-10-25 17:57:00,39,0.00
43022,8347,31060794,5237.00,526.00,8,2921532070,1,0,0,2024-11-11 20:30:00,1,2024-11-21 03:16:03.455857000,14736.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1052.00,0,0,0,2024-11-19 00:23:00,2,24196.00
335158,4000,31059608,4904.00,359.00,9,2545442021,1,0,0,2024-10-24 21:02:00,1,2024-11-21 03:16:03.455857000,11304.00,3599.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,25848.00,0,0,0,2024-10-17 21:02:00,72,0.00
127700,9713,31060794,10595.00,330.00,4,18667782503,1,0,1,2024-11-08 20:37:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,I     ,0,0.00,0.00,0,0,0,2024-11-16 00:26:00,0,33660.00
816674,8350,31060794,9509.00,266.00,9,5138142135,1,0,0,2024-11-03 00:00:00,1,2024-11-21 03:16:03.455857000,19008.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1064.00,0,0,0,2024-11-20 00:00:00,4,24472.00
99623,8236,31060787,5113.00,281.00,9,9694592124,1,0,0,2024-10-24 11:40:00,1,2024-11-21 03:16:03.455857000,14612.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1124.00,0,0,0,2024-11-15 00:37:00,4,13488.00
138587,9915,31060794,12574.00,312.00,9,687360121245,1,0,0,2024-11-04 16:08:00,1,2024-11-21 03:16:03.455857000,20174.00,1899.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,936.00,0,0,0,2024-11-19 00:38:00,3,47112.00
1636288,4000,31060787,10595.00,297.00,7,687358071245,1,0,0,2024-11-03 19:59:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,30294.00,0,0,0,2024-10-26 19:59:00,102,0.00
87927,9173,31060787,9509.00,258.00,9,5963352182,1,0,0,2024-10-23 00:00:00,1,2024-11-21 03:16:03.455857000,19008.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1290.00,0,0,0,2024-11-20 00:00:00,5,23478.00
40736,8347,31060794,10949.00,461.00,6,2919052070,1,0,0,2024-11-03 19:35:00,1,2024-11-21 03:16:03.455857000,20448.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1383.00,0,0,0,2024-11-17 00:21:00,3,42873.00
13277,9177,31059608,5725.00,192.00,5,6567102141,1,0,0,2024-11-02 20:20:00,1,2024-11-21 03:16:03.455857000,13824.00,1900.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,576.00,0,0,0,2024-11-17 00:25:00,3,13248.00
80150,8119,31059608,9145.00,230.00,5,8048902137,1,0,0,2024-11-08 15:45:00,1,2024-11-21 03:16:03.455857000,18144.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,460.00,0,0,0,2024-11-16 00:30:00,2,21620.00
88489,9179,31059608,15949.00,185.00,3,10537582180,1,0,0,2024-11-08 12:44:00,1,2024-11-21 03:16:03.455857000,24948.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,555.00,0,0,0,2024-11-20 16:41:00,3,27935.00
792652,4000,31059608,13561.00,140.00,5,8100061822164,1,0,0,2024-10-26 15:34:00,1,2024-11-21 03:16:03.455857000,21560.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,21560.00,0,0,0,2024-10-19 15:36:00,154,0.00
68034,9660,31060794,10595.00,379.00,2,10406892189,1,0,0,2024-11-01 14:40:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1516.00,0,0,0,2024-11-19 00:21:00,4,37142.00
